order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,region,product_id,category,sub_category,product_name,sales,quantity,profit,order_priority
CA-2011-162775,14-01-11,16-01-11,Second Class,Chris Selesnick,Corporate,Louisiana,United States,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,647,6,258.696,Critical
CA-2011-109232,14-01-11,17-01-11,Second Class,Natalie DeCherney,Consumer,South Carolina,United States,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,546,6,87.3504,Medium
CA-2011-157147,14-01-11,19-01-11,Standard Class,Brian Dahlen,Consumer,California,United States,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,3.9294,High
CA-2011-162775,14-01-11,16-01-11,Second Class,Chris Selesnick,Corporate,Louisiana,United States,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,51,3,25.47,Critical
CA-2011-157147,14-01-11,19-01-11,Standard Class,Brian Dahlen,Consumer,California,United States,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,20,5,6.567,High
CA-2011-162775,14-01-11,16-01-11,Second Class,Chris Selesnick,Corporate,Louisiana,United States,South,OFF-EN-10001990,Office Supplies,Envelopes,Staples,11,2,5.3392,Critical
CA-2011-118192,14-01-11,19-01-11,Standard Class,Michael Moore,Consumer,Ohio,United States,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37,7,13.0928,Medium
CA-2011-162775,14-01-11,16-01-11,Second Class,Chris Selesnick,Corporate,Louisiana,United States,South,OFF-BI-10004187,Office Supplies,Binders,Staples,6,3,2.7072,Critical
CA-2011-118192,14-01-11,19-01-11,Standard Class,Michael Moore,Consumer,Ohio,United States,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3,2,-2.5212,Medium
CA-2011-149524,15-01-11,16-01-11,First Class,Brendan Sweed,Corporate,Pennsylvania,United States,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,62,4,-53.2856,High
CA-2011-103366,16-01-11,18-01-11,First Class,Erica Hackney,Consumer,Georgia,United States,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150,5,65.978,Critical
CA-2011-115791,17-01-11,19-01-11,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127,6,28.5984,Critical
CA-2011-115791,17-01-11,19-01-11,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124,3,-31.05,Critical
CA-2011-115791,17-01-11,19-01-11,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30,3,10.1493,Critical
CA-2011-115791,17-01-11,19-01-11,Second Class,Delfina Latchford,Consumer,Pennsylvania,United States,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,19,2,-13.6312,Critical
CA-2011-123477,19-01-11,22-01-11,Second Class,David Wiener,Corporate,Oregon,United States,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,65,4,6.4864,High
CA-2011-146591,20-01-11,21-01-11,First Class,Toby Swindell,Consumer,Arizona,United States,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181,5,-320.597,Medium
CA-2011-146591,20-01-11,21-01-11,First Class,Toby Swindell,Consumer,Arizona,United States,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56,4,19.6224,Medium
CA-2011-146591,20-01-11,21-01-11,First Class,Toby Swindell,Consumer,Arizona,United States,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109,5,36.693,Medium
CA-2011-146591,20-01-11,21-01-11,First Class,Toby Swindell,Consumer,Arizona,United States,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32,10,-23.716,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,"1,068",3,224.2674,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,700,7,181.9818,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273,3,30.0234,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248,4,93.5816,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67,2,15.9792,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44,3,12.7368,Medium
US-2011-147774,21-01-11,27-01-11,Standard Class,Muhammed MacIntyre,Corporate,Tennessee,United States,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67,1,-51.5154,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,OFF-EN-10001539,Office Supplies,Envelopes,Staples,23,3,10.9698,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",39,4,11.58,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,30,5,13.365,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,23,7,6.6584,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19,5,8.9535,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,14,1,4.0542,Medium
CA-2011-148614,21-01-11,26-01-11,Standard Class,Mark Van Huff,Consumer,California,United States,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19,2,9.2928,Medium
CA-2011-167927,21-01-11,27-01-11,Standard Class,Xylona Preis,Consumer,Michigan,United States,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,15,3,4.8609,Medium
CA-2011-148614,21-01-11,26-01-11,Standard Class,Mark Van Huff,Consumer,California,United States,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19,2,5.79,Medium
US-2011-147627,21-01-11,27-01-11,Standard Class,Hunter Lopez,Consumer,Arkansas,United States,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,7,3,1.7901,Medium
CA-2011-110422,22-01-11,24-01-11,Second Class,Tom Boeckenhauer,Consumer,Florida,United States,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25,3,4.1028,Critical
CA-2011-102645,24-01-11,29-01-11,Standard Class,Ionia McGrath,Consumer,Nevada,United States,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40,6,19.2384,Medium
CA-2011-146997,24-01-11,28-01-11,Standard Class,Speros Goranitis,Consumer,Indiana,United States,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",6,3,0,High
CA-2011-167997,27-01-11,30-01-11,First Class,Carol Adams,Corporate,South Dakota,United States,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142,2,39.7488,High
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",490,8,0,Medium
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,188,2,52.6344,Medium
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155,13,0,Medium
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63,3,30.7818,Medium
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19,3,9.3312,Medium
CA-2011-167997,27-01-11,30-01-11,First Class,Carol Adams,Corporate,South Dakota,United States,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11,2,5.0196,High
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17,2,8.34,Medium
US-2011-155502,27-01-11,01-02-11,Standard Class,Shirley Daniels,Home Office,Virginia,United States,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12,3,4.4712,Medium
US-2011-117163,28-01-11,03-02-11,Standard Class,Ed Jacobs,Consumer,California,United States,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,3,-16.65,Medium
US-2011-117163,28-01-11,03-02-11,Standard Class,Ed Jacobs,Consumer,California,United States,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57,1,14.3075,Medium
US-2011-117163,28-01-11,03-02-11,Standard Class,Ed Jacobs,Consumer,California,United States,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36,4,12.0252,Medium
CA-2011-100328,29-01-11,04-02-11,Standard Class,Jasper Cacioppo,Consumer,New York,United States,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4,1,1.3257,Medium
CA-2011-134103,31-01-11,05-02-11,Standard Class,Mike Vittorini,Consumer,Michigan,United States,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,230,2,6.8982,High
CA-2011-134103,31-01-11,05-02-11,Standard Class,Mike Vittorini,Consumer,Michigan,United States,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,11,2,4.752,High
CA-2011-115161,01-02-11,03-02-11,First Class,Liz Carlisle,Consumer,California,United States,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",291,2,3.4196,High
CA-2011-140795,02-02-11,04-02-11,First Class,Bradley Drucker,Consumer,Wisconsin,United States,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,469,6,206.316,High
CA-2011-123400,03-02-11,10-02-11,Standard Class,Eric Barreto,Consumer,Florida,United States,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,181,5,13.572,Medium
CA-2011-123400,03-02-11,10-02-11,Standard Class,Eric Barreto,Consumer,Florida,United States,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18,2,-12.224,Medium
CA-2011-139857,03-02-11,07-02-11,Standard Class,Cynthia Delaney,Home Office,California,United States,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12,5,5.8045,Medium
CA-2011-111059,04-02-11,07-02-11,Second Class,Tom Boeckenhauer,Consumer,Washington,United States,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,84,2,27.248,High
CA-2011-111059,04-02-11,07-02-11,Second Class,Tom Boeckenhauer,Consumer,Washington,United States,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13,3,4.3134,High
CA-2011-104808,05-02-11,09-02-11,Second Class,Mark Haberlin,Corporate,California,United States,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17,2,6.0368,High
CA-2011-107181,05-02-11,09-02-11,Standard Class,Deborah Brumfield,Home Office,California,United States,West,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34,4,16.0928,High
CA-2011-107181,05-02-11,09-02-11,Standard Class,Deborah Brumfield,Home Office,California,United States,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,83,3,29.0136,High
CA-2011-131905,07-02-11,10-02-11,First Class,Neil Ducich,Corporate,Virginia,United States,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,145,5,42.0355,Medium
CA-2011-131905,07-02-11,10-02-11,First Class,Neil Ducich,Corporate,Virginia,United States,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,162,1,42.0186,Medium
CA-2011-131905,07-02-11,10-02-11,First Class,Neil Ducich,Corporate,Virginia,United States,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,4,7.2,Medium
CA-2011-108182,07-02-11,11-02-11,Second Class,Delfina Latchford,Consumer,Illinois,United States,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",9,2,-14.7708,Medium
US-2011-169390,08-02-11,11-02-11,Second Class,Chris Selesnick,Corporate,New York,United States,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,65,4,9.744,Critical
CA-2011-107755,08-02-11,13-02-11,Standard Class,Cyma Kinney,Corporate,New Jersey,United States,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115,7,49.6048,Medium
CA-2011-125759,09-02-11,10-02-11,First Class,Nathan Mautz,Home Office,Nevada,United States,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",15,2,5.5328,Medium
CA-2011-127614,12-02-11,16-02-11,Standard Class,Natalie Fritzler,Consumer,Virginia,United States,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,"1,256",6,75.3732,High
CA-2011-127614,12-02-11,16-02-11,Standard Class,Natalie Fritzler,Consumer,Virginia,United States,South,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,234,3,103.158,High
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",333,3,53.2704,Medium
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",61,1,15.2225,Medium
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,65,2,2.5984,Medium
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,52,3,24.393,Medium
CA-2011-127614,12-02-11,16-02-11,Standard Class,Natalie Fritzler,Consumer,Virginia,United States,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,2,8.2062,High
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,OFF-LA-10004853,Office Supplies,Labels,Avery 483,15,3,6.8724,Medium
CA-2011-168368,12-02-11,16-02-11,Second Class,Guy Armstrong,Consumer,Missouri,United States,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,10,2,4.4344,Medium
US-2011-110674,13-02-11,19-02-11,Standard Class,Sanjit Chand,Consumer,California,United States,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",130,2,-24.294,Medium
CA-2011-121762,15-02-11,19-02-11,Standard Class,Marina Lichtenstein,Corporate,Washington,United States,West,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,239,2,4.7724,Medium
CA-2011-121762,15-02-11,19-02-11,Standard Class,Marina Lichtenstein,Corporate,Washington,United States,West,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,240,3,86.3892,Medium
CA-2011-121762,15-02-11,19-02-11,Standard Class,Marina Lichtenstein,Corporate,Washington,United States,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,82,2,22.9488,Medium
CA-2011-107706,15-02-11,20-02-11,Second Class,Shui Tom,Consumer,Texas,United States,Central,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16,3,6.066,High
CA-2011-165568,16-02-11,20-02-11,Standard Class,Barry Französisch,Corporate,Washington,United States,West,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21,5,7.209,Medium
CA-2011-122567,17-02-11,22-02-11,Standard Class,Michael Nguyen,Consumer,Texas,United States,Central,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",8,2,-13.93,High
CA-2011-122567,17-02-11,22-02-11,Standard Class,Michael Nguyen,Consumer,Texas,United States,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1,3,-1.728,High
CA-2011-154165,18-02-11,25-02-11,Standard Class,Delfina Latchford,Consumer,Illinois,United States,Central,OFF-AR-10003631,Office Supplies,Art,Staples,54,14,8.8088,Low
US-2011-165589,19-02-11,19-02-11,Same Day,Troy Blackwell,Consumer,Texas,United States,Central,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25,5,-11.322,High
CA-2011-152905,19-02-11,25-02-11,Standard Class,Aaron Bergman,Consumer,Texas,United States,Central,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,13,2,-2.5248,Low
CA-2011-109491,21-02-11,27-02-11,Standard Class,Linda Cazamias,Corporate,Indiana,United States,Central,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62,3,22.4316,Medium
CA-2011-164903,21-02-11,25-02-11,Standard Class,Steven Roelle,Home Office,California,United States,West,OFF-PA-10003363,Office Supplies,Paper,Xerox 204,13,2,6.2208,High
CA-2011-109491,21-02-11,27-02-11,Standard Class,Linda Cazamias,Corporate,Indiana,United States,Central,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",20,4,6.9088,Medium
CA-2011-165540,22-02-11,26-02-11,Standard Class,Tamara Manning,Consumer,Illinois,United States,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,9,5,-13.7175,Medium
CA-2011-133354,23-02-11,25-02-11,First Class,Sue Ann Reed,Consumer,California,United States,West,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,19,3,9.3312,High
CA-2011-103744,24-02-11,28-02-11,Standard Class,Michael Grace,Home Office,Texas,United States,Central,OFF-LA-10004425,Office Supplies,Labels,Staples,7,3,2.3409,Medium
CA-2011-103744,24-02-11,28-02-11,Standard Class,Michael Grace,Home Office,Texas,United States,Central,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,4,3,-6.8634,Medium
US-2011-137680,25-02-11,02-03-11,Standard Class,Jennifer Halladay,Consumer,Oregon,United States,West,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",33,4,11.1024,High
US-2011-137680,25-02-11,02-03-11,Standard Class,Jennifer Halladay,Consumer,Oregon,United States,West,OFF-PA-10000069,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",23,3,7.6869,High
CA-2011-156545,28-02-11,03-03-11,First Class,Joy Smith,Consumer,Ohio,United States,East,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19,4,3.4048,Medium
CA-2011-113880,01-03-11,05-03-11,Standard Class,Vicky Freymann,Home Office,Illinois,United States,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634,6,-172.1172,High
CA-2011-104269,01-03-11,06-03-11,Second Class,Dave Brooks,Consumer,Washington,United States,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,458,2,51.4764,Medium
CA-2011-168312,01-03-11,07-03-11,Standard Class,Giulietta Weimer,Consumer,Texas,United States,Central,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,377,3,-43.0296,Medium
CA-2011-131009,01-03-11,05-03-11,Standard Class,Shahid Collister,Consumer,Texas,United States,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362,6,0,Medium
CA-2011-168312,01-03-11,07-03-11,Standard Class,Giulietta Weimer,Consumer,Texas,United States,Central,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137,3,8.5845,Medium
CA-2011-131009,01-03-11,05-03-11,Standard Class,Shahid Collister,Consumer,Texas,United States,Central,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,130,3,-22.6716,Medium
